06574771+0319292,6816.0,83.0,4.11,0.22,-0.2,0.08,3.19,0.19,Br30,0.9805
06574886+0317068,6089.0,82.0,3.79,0.22,-0.49,0.07,3.18,0.15,Br30,0.9886
06574011+0313174,6753.0,83.0,4.32,0.22,0.18,0.08,3.31,0.17,Br30,0.9883
06574556+0312506,6834.0,108.0,4.21,0.24,-0.21,0.09,2.94,0.17,Br30,0.9965
06574305+0312491,6951.0,72.0,4.18,0.21,-0.03,0.06,2.9,0.25,Br30,0.9794
06574314+0314284,6026.0,83.0,3.95,0.21,-0.37,0.08,2.64,,Br30,0.9753
06574567+0313308,4354.0,31.0,1.72,0.06,-0.17,0.05,1.0,0.05,Br30,0.998
06574845+0313424,5011.0,31.0,2.48,0.05,-0.13,0.05,0.85,,Br30,0.9994
06574890+0312476,5053.0,31.0,2.49,0.05,-0.14,0.05,1.05,0.04,Br30,0.9984
06580794+0814272,5076.0,64.0,3.21,0.17,-0.32,0.05,1.39,0.09,Br31,0.9997
06571311+0814188,4807.0,31.0,2.69,0.05,-0.33,0.05,0.65,0.05,Br31,0.9996
06573260+0815157,4912.0,31.0,2.6,0.05,-0.34,0.05,-0.14,,Br31,0.9997
06573630+0816561,4943.0,31.0,2.56,0.05,-0.37,0.05,-0.75,,Br31,0.9996
06572760+0817084,5014.0,84.0,3.02,0.21,-0.96,0.08,1.62,,Br31,0.997
06573133+0819394,5224.0,65.0,3.91,0.17,-0.32,0.05,1.13,0.22,Br31,0.9996
06573192+0816305,5537.0,65.0,3.78,0.17,-0.5,0.05,1.6,0.26,Br31,0.9993
06573611+0817202,5444.0,79.0,3.25,0.33,-1.09,0.09,2.37,0.17,Br31,0.991
06573685+0816470,6565.0,81.0,4.26,0.22,-0.22,0.08,2.69,,Br31,0.9668
06573773+0817511,5244.0,63.0,3.64,0.18,-0.36,0.05,1.5,0.16,Br31,0.9988
06573778+0818114,6176.0,81.0,3.65,0.21,-0.62,0.07,2.32,0.21,Br31,0.9848
06573838+0817365,6206.0,65.0,4.1,0.17,-0.54,0.06,2.47,0.14,Br31,0.9994
06573894+0815476,6125.0,65.0,3.85,0.18,-0.39,0.05,2.21,0.19,Br31,0.9995
06573964+0816212,5125.0,66.0,3.34,0.17,-0.28,0.05,1.46,0.1,Br31,0.9988
06574174+0815539,6187.0,83.0,4.27,0.22,-0.29,0.07,2.68,0.23,Br31,0.9984
06574229+0815376,5259.0,64.0,3.58,0.17,-0.35,0.06,1.62,0.12,Br31,0.9995
06574509+0818240,6277.0,65.0,4.32,0.17,-0.55,0.05,2.22,,Br31,0.9986
06574639+0824353,6353.0,66.0,3.79,0.18,-0.25,0.06,2.23,,Br31,0.9993
06574809+0819021,5248.0,67.0,3.52,0.18,-0.26,0.06,1.56,0.12,Br31,0.999
06574992+0816409,6221.0,64.0,4.32,0.18,-0.42,0.05,2.85,0.11,Br31,0.996
06572746+0819245,4786.0,31.0,2.64,0.05,-0.35,0.05,-0.51,,Br31,0.9997
06572634+0823290,5221.0,65.0,3.53,0.17,-0.34,0.05,1.4,0.14,Br31,0.9996
06572851+0813156,6281.0,66.0,3.99,0.18,-0.56,0.05,2.47,0.13,Br31,0.9994
06572877+0818224,6212.0,82.0,4.64,0.22,-0.51,0.08,2.69,0.17,Br31,0.9965
06572960+0817463,6204.0,68.0,4.29,0.17,-0.37,0.05,2.66,0.14,Br31,0.9743
06573708+0817066,5800.0,81.0,3.42,0.22,-0.82,0.07,2.29,,Br31,0.9889
06573896+0817150,6492.0,81.0,3.84,0.22,-0.21,0.08,2.68,0.21,Br31,0.9988
06573919+0814527,6359.0,83.0,3.95,0.21,-0.63,0.08,2.92,,Br31,0.9789
06574005+0817135,6127.0,64.0,4.27,0.17,-0.68,0.06,1.65,,Br31,0.9993
06574020+0816332,6562.0,67.0,4.13,0.17,-0.44,0.05,2.61,0.22,Br31,0.9989
06574235+0816363,6506.0,80.0,4.48,0.21,-0.45,0.08,3.03,0.17,Br31,0.9982
06574502+0817338,6339.0,66.0,4.1,0.17,-0.34,0.06,2.32,,Br31,0.998
06574526+0817008,6653.0,82.0,4.55,0.22,-0.45,0.08,2.47,,Br31,0.9965
06574867+0816485,5082.0,65.0,3.21,0.18,-0.46,0.05,1.48,0.11,Br31,0.9983
06575358+0819359,5853.0,65.0,3.95,0.17,-0.4,0.05,1.8,,Br31,0.9994
06581084+0815146,6465.0,82.0,4.09,0.21,-0.31,0.08,2.85,0.18,Br31,0.9956
06573094+0818246,6152.0,66.0,4.09,0.17,-0.41,0.05,1.97,0.2,Br31,0.9919
06573570+0819118,6275.0,64.0,4.35,0.17,-0.43,0.06,2.3,,Br31,0.9984
06573611+0816140,5922.0,104.0,3.34,0.33,-0.73,0.09,2.87,0.2,Br31,0.9956
06573803+0818024,5575.0,65.0,4.52,0.17,-0.14,0.05,1.96,0.15,Br31,0.9992
06573960+0816065,6554.0,104.0,4.98,0.28,-0.16,0.09,2.93,0.25,Br31,0.9947
06573963+0815200,6098.0,83.0,3.31,0.22,-0.73,0.08,2.97,0.16,Br31,0.9889
06574006+0819407,6608.0,83.0,3.79,0.22,-0.24,0.07,3.56,0.16,Br31,0.9938
06574256+0816369,6669.0,83.0,4.14,0.22,-0.21,0.08,2.45,,Br31,0.9984
06575675+0824521,6123.0,66.0,4.46,0.17,-0.09,0.05,2.97,0.09,Br31,0.9828
06573578+0818017,5031.0,33.0,3.2,0.05,-0.25,0.04,0.98,0.09,Br31,0.9994
06574379+0818049,4883.0,30.0,2.76,0.05,-0.31,0.05,-0.31,,Br31,0.9996
06574513+0814164,4901.0,31.0,2.81,0.05,-0.3,0.05,1.01,0.05,Br31,0.9997
06571770+0814482,6302.0,63.0,4.12,0.18,-0.14,0.05,2.5,0.14,Br31,0.9736
06571852+0816390,6013.0,65.0,3.72,0.17,-0.41,0.05,1.83,,Br31,0.9841
06573095+0817561,6619.0,67.0,4.47,0.18,-0.37,0.05,2.61,,Br31,0.9981
06573251+0816296,6357.0,83.0,4.29,0.22,-0.35,0.07,2.47,0.22,Br31,0.9991
06573425+0816319,5140.0,66.0,3.41,0.17,-0.26,0.05,1.51,0.1,Br31,0.9994
06573690+0818137,5368.0,66.0,4.47,0.17,-0.4,0.05,2.11,0.11,Br31,0.9985
06573794+0816527,6291.0,65.0,3.65,0.17,-0.55,0.05,2.11,,Br31,0.9994
06573952+0817327,5242.0,67.0,3.95,0.17,-0.51,0.06,1.95,0.11,Br31,0.9989
06581128+0810163,5188.0,65.0,3.69,0.18,-0.61,0.05,1.61,0.17,Br31,0.9564
