05511795+2151548 6003 63 4.00 0.17 -0.10 0.05 2.15 0.12 2.138 Br21
05512126+2149383 5938 81 3.52 0.21 -0.24 0.08 2.38 0.25 2.138 Br21
05512278+2148471 5516 72 4.36 0.21 -0.14 0.05 2.61 0.11 2.138 Br21
05512285+2146017 6205 81 3.87 0.22 -0.38 0.08 2.76 0.12 2.138 Br21
05512330+2151491 6463 83 3.93 0.22 0.02 0.08 2.61 0.19 2.138 Br21
05512469+2147334 5827 65 4.10 0.17 0.08 0.05 2.56 0.07 2.138 Br21
05512490+2146372 5697 83 4.26 0.33 -0.23 0.07 1.85 0.00 2.138 Br21
05512645+2149179 6140 85 3.31 0.21 -0.60 0.08 2.97 0.21 2.138 Br21
05512726+2150526 5824 81 4.55 0.22 -0.16 0.07 2.94 0.12 2.138 Br21
05512784+2151457 3558 109 4.87 0.24 -0.29 0.09 0.18 0.30 2.138 Br21
05512950+2149418 4342 74 4.75 0.18 -0.52 0.09 0.33 0.00 2.138 Br21
05512952+2154370 4971 64 2.95 0.17 -0.57 0.05 1.03 0.00 2.138 Br21
05513000+2153438 5105 81 3.60 0.22 0.03 0.08 1.59 0.25 2.138 Br21
05513446+2155049 6118 81 4.50 0.22 -0.48 0.08 2.29 0.00 2.138 Br21
05513448+2148292 4659 66 4.36 0.17 0.14 0.05 0.72 0.00 2.138 Br21
05513482+2153395 4470 76 4.80 0.18 0.00 0.09 0.32 0.00 2.138 Br21
05513662+2155192 5633 83 3.42 0.22 -0.49 0.08 2.18 0.20 2.138 Br21
05513750+2152427 6252 81 4.35 0.22 -0.08 0.08 2.30 0.25 2.138 Br21
05513822+2153474 5694 63 4.11 0.18 -0.03 0.05 2.14 0.15 2.138 Br21
05513852+2143055 6247 64 4.25 0.18 -0.28 0.06 2.13 0.21 2.138 Br21
05513866+2145349 5871 82 4.33 0.22 -0.62 0.08 1.72 0.00 2.138 Br21
05513951+2146429 5063 64 3.03 0.18 -0.16 0.05 0.87 0.00 2.138 Br21
05514298+2149573 5895 82 4.25 0.22 0.31 0.07 2.39 0.24 2.138 Br21
05514316+2145121 4674 63 4.65 0.17 0.11 0.05 0.39 0.39 2.138 Br21
05514363+2149424 4921 66 2.98 0.18 -0.32 0.05 0.73 0.00 2.138 Br21
05514389+2147207 4918 67 2.96 0.17 -0.29 0.05 1.27 0.10 2.138 Br21
05514427+2146333 4455 74 4.87 0.18 0.03 0.09 0.61 0.17 2.138 Br21
05514517+2151162 6110 81 4.94 0.22 0.10 0.08 2.88 0.17 2.138 Br21
05514518+2152129 6112 65 4.03 0.17 -0.32 0.06 2.33 0.15 2.138 Br21
05514585+2149103 4872 64 2.80 0.17 -0.17 0.05 1.42 0.11 2.138 Br21
05514742+2148457 4986 63 2.91 0.17 -0.12 0.05 0.40 0.49 2.138 Br21
05514756+2148067 6185 83 3.20 0.22 0.03 0.08 2.89 0.22 2.138 Br21
05515225+2144515 4560 75 4.74 0.18 -0.26 0.10 0.67 0.25 2.138 Br21
05515253+2154390 3791 77 4.83 0.18 -0.15 0.10 -1.00 0.00 2.138 Br21
05515261+2147522 5596 65 3.59 0.18 -0.23 0.06 2.32 0.11 2.138 Br21
05515274+2143411 5518 80 4.09 0.22 -0.28 0.07 2.45 0.18 2.138 Br21
05515374+2155593 6056 80 3.88 0.22 -0.47 0.08 2.72 0.13 2.138 Br21
05515536+2155379 5194 81 3.23 0.22 -0.02 0.08 1.63 0.29 2.138 Br21
05515633+2149582 6715 82 4.11 0.22 -0.55 0.07 2.69 0.00 2.138 Br21
05515713+2156146 6119 66 4.58 0.18 -0.03 0.05 2.51 0.11 2.138 Br21
05515836+2151324 5146 66 4.18 0.18 0.04 0.06 1.61 0.00 2.138 Br21
05515941+2146434 5398 67 4.67 0.18 -0.27 0.05 1.43 0.32 2.138 Br21
